,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.0619173920752,0.7929216829393261,0.3501024927638883,0.8149792326581784,0.5819765155791118,0.9835758536894537
Test,0.07785205020046555,0.9725434895804298,0.10974505198647622,0.984164623128708,0.6080233431900713,1.030746414734295
