,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train CRMSD,Train data based prediction,Train data Standard Deviation
0,1,1,0.0868565729918493,1.0023444360285407,3.035098417880633e-05,1.0026452488350763,0.0002927163876898038,1.0023596474448624
1,1,1601,0.07078405081364546,0.8669435848159458,0.25194328610553873,0.8669888910996161,0.2687549990141728,1.0023596474448624
2,1,3201,0.06252444023407096,0.7996135780697347,0.3636249107688826,0.7997139691623861,0.38415527256011583,1.0023596474448624
3,1,4801,0.05781062579772374,0.7553950669409004,0.4320617232923114,0.7553946756024863,0.4638399238363579,1.0023596474448624
4,1,6401,0.055023282604026974,0.7231520865296609,0.4795103021722702,0.7233103454715436,0.5079941744271883,1.0023596474448624
5,1,8001,0.05283519398586824,0.7001852513084669,0.5120461289560942,0.7007957700363808,0.5349195267721916,1.0023596474448624
6,1,9601,0.05103932998884444,0.6759228965033127,0.5452767429956137,0.676592631937437,0.555352430701279,1.0023596474448624
7,1,11201,0.04910910191014342,0.6550380613422618,0.5729429242944624,0.6553527907519882,0.5722408923908171,1.0023596474448624
8,1,12801,0.04822250594578414,0.6387535823344648,0.5939125684641718,0.6391671449657388,0.5885595933763182,1.0023596474448624
9,1,14401,0.04660781585774369,0.6212805335365602,0.6158256696605702,0.6212697016112422,0.6007547665389255,1.0023596474448624
10,2,1,0.0868517736044473,1.0023361716298131,4.6840553090676806e-05,1.0026366719779711,0.0006202481913960981,1.0023596474448624
11,2,1601,0.062425696404436265,0.7785606604119809,0.39669383692135984,0.7788574491340626,0.3537765735379768,1.0023596474448624
12,2,3201,0.05235379627256154,0.6691030468929671,0.5544064808923919,0.6711777316431817,0.5065647716973596,1.0023596474448624
13,2,4801,0.04630499780570726,0.5903474829398979,0.6531287683741714,0.5911337066449177,0.5799457601385613,1.0023596474448624
14,2,6401,0.04139881257800365,0.5239860221348747,0.7267298127563745,0.524474746321318,0.6397268518354914,1.0023596474448624
15,2,8001,0.03752503173754654,0.47617964052583833,0.7743192604853129,0.4761928574160656,0.6806071294013499,1.0023596474448624
16,2,9601,0.03358685271984607,0.42437180191259855,0.8207554795130294,0.4244049122620102,0.7201594917389451,1.0023596474448624
17,2,11201,0.030681219358423065,0.3865739356287134,0.8512633525489015,0.38657441049693014,0.7481918484407137,1.0023596474448624
18,2,12801,0.02759348903002739,0.3462152875522999,0.8806986571450005,0.34623511498586845,0.77769274971146,1.0023596474448624
19,2,14401,0.025676762445235743,0.3229458988484742,0.8961964041680806,0.3229949892637197,0.7946927414919857,1.0023596474448624
20,3,1,0.08683513667698442,1.002028991239405,0.0006596468008819301,1.002337874999872,0.0006965555073071734,1.0023596474448624
21,3,1601,0.058085336364701576,0.7191480297390126,0.48525819573833173,0.7203892689181152,0.40830071439719123,1.0023596474448624
22,3,3201,0.045839840434138475,0.580642596506394,0.6644396517376265,0.5811797358483914,0.5643039308578579,1.0023596474448624
23,3,4801,0.037811935290045756,0.47647379571619375,0.7740403503445881,0.47672157428690926,0.6592497129679014,1.0023596474448624
24,3,6401,0.031689931001830325,0.3958653938633232,0.8440275384269692,0.3958612952189108,0.7252074648613029,1.0023596474448624
25,3,8001,0.02716842851467521,0.3393972704594462,0.8853511926923465,0.3394032436680151,0.7732937747475043,1.0023596474448624
26,3,9601,0.023001417936100124,0.2853881482588247,0.9189366181926335,0.2854867795195429,0.8128183160755681,1.0023596474448624
27,3,11201,0.020407087965462308,0.2487716855653801,0.9384036826111956,0.2494266056917959,0.8387466551409402,1.0023596474448624
28,3,12801,0.01726435365825559,0.20859095820747028,0.956694425055295,0.21101146933350204,0.8690666221520391,1.0023596474448624
29,3,14401,0.014948645556814877,0.17858010135855998,0.9682591187088369,0.18233492658540384,0.8901998839568972,1.0023596474448624
30,4,1,0.08682684073113076,1.0019868890354042,0.0007436235078724929,1.002287474633623,0.0008262444861354219,1.0023596474448624
31,4,1601,0.05400934311945037,0.6676226648904925,0.5563760396832469,0.667812965979572,0.4405831416951051,1.0023596474448624
32,4,3201,0.04026261335203949,0.5056473744064798,0.745523101195019,0.5059788401901936,0.6102941290588672,1.0023596474448624
33,4,4801,0.03135884561109935,0.39306748039583594,0.8462245238858788,0.3941120286056142,0.7077734326973503,1.0023596474448624
34,4,6401,0.025250082199220508,0.31504769236145364,0.9012117126442734,0.3158581962298782,0.7769887806238679,1.0023596474448624
35,4,8001,0.02027785776818531,0.24993827967627466,0.9378246264635661,0.2520536509222046,0.8292890719833248,1.0023596474448624
36,4,9601,0.016393854676001015,0.20186420087633034,0.9594424731554543,0.2054018728082763,0.8686726722656852,1.0023596474448624
37,4,11201,0.013572550337162573,0.16317428878144014,0.9734993633536214,0.16922235006385453,0.8974404604560745,1.0023596474448624
38,4,12801,0.01142225431890541,0.1378878954638374,0.9810763399822994,0.1479645121617147,0.9176503136968953,1.0023596474448624
39,4,14401,0.009294492365567756,0.11418342240401322,0.9870234584269924,0.1259597612212327,0.935473729477675,1.0023596474448624
