,No. Neurons,Epoch,Train MAPE,Train RMSE,Train R2
0,1,0,0.9516933759053549,8.303917,-114.23822275797527
1,1,1,0.9516308307647705,8.425794,-82.4624760945638
2,1,2,0.951773206392924,8.548572,-142.45628102620444
3,1,3,0.9510384599367777,8.544506,-92.38964589436848
4,1,4,0.9503228068351746,8.5601015,-71.96850458780925
5,1,5,0.9499287605285645,8.587181,-81.75218073527019
6,1,6,0.9486560225486755,8.450887,-131.6553166707357
7,1,7,0.9482117295265198,8.526772,-69.73020935058594
8,1,8,0.9478373328844706,8.552647,-80.0815658569336
9,1,9,0.9456121921539307,8.261797,-170.77301279703775
10,1,10,0.9458324114481608,8.388812,-520.235164642334
11,1,11,0.9458552996317545,8.5333805,-79.62888081868489
12,1,12,0.9447873830795288,8.42774,-205.28797912597656
13,1,13,0.9434464971224467,8.393647,-64.55930709838867
14,1,14,0.9429846604665121,8.344869,-161.59186808268228
15,1,15,0.9438031911849976,8.613673,-79.36737314860027
16,1,16,0.941126545270284,8.341425,-68.62744013468425
17,1,17,0.9412767291069031,8.414176,-70.899351755778
18,1,18,0.9403314193089803,8.315961,-243.2432098388672
19,1,19,0.9401695926984152,8.38259,-250.5335261027018
20,1,20,0.9393861293792725,8.357239,-203.78706868489584
21,1,21,0.9381271004676819,8.363319,-63.20713678995768
22,1,22,0.936584492524465,8.190585,-74.69546890258789
23,1,23,0.9380125403404236,8.500045,-67.66909662882487
24,1,24,0.9367307821909586,8.361369,-75.16495005289714
25,1,25,0.9370129505793253,8.4970665,-74.4696782430013
26,1,26,0.9343043367067972,8.1703005,-186.79823303222656
27,1,27,0.9352647463480631,8.4191475,-72.19022878011067
28,1,28,0.9324762225151062,8.091442,-407.2476437886556
29,1,29,0.9331404765446981,8.285465,-77.59954198201497
30,1,30,0.9342151085535685,8.568363,-72.67547353108723
31,1,31,0.9338006973266602,8.5497465,-76.00036875406902
32,1,32,0.9316133856773376,8.30469,-90.33401997884114
33,1,33,0.9289869467417399,8.045968,-192.10965983072916
34,1,34,0.9325886964797974,8.612004,-104.83579126993816
35,1,35,0.9301065603892008,8.313772,-3491.1491572062173
36,1,36,0.9301141500473022,8.420627,-101.56408437093098
37,1,37,0.9279060959815979,8.193377,-192.57642110188803
38,1,38,0.9268465836842855,8.182389,-68.8718032836914
39,1,39,0.9274473587671915,8.274657,-3072.673656463623
40,1,40,0.9260095556577047,8.191752,-100.32081095377605
41,1,41,0.9251480499903361,8.268551,-61.69418080647787
42,1,42,0.9250611861546835,8.200435,-348.3744252522786
43,1,43,0.9238608280817667,8.142906,-113.84960047403972
44,1,44,0.9222131371498108,8.039805,-88.81400553385417
45,1,45,0.9207071860631307,7.9784694,-69.2196667989095
46,1,46,0.9217905004819235,8.099043,-180.0974349975586
47,1,47,0.921700914700826,8.216561,-64.26886749267578
48,1,48,0.9188703695933024,7.930006,-123.460205078125
49,1,49,0.9211996793746948,8.244259,-85.68861389160156
50,1,50,0.9199101527531942,8.172814,-79.78290176391602
51,1,51,0.9181778232256571,8.113935,-65.30387878417969
52,1,52,0.9165178338686625,7.956856,-73.48867289225261
53,1,53,0.9182462493578593,8.152476,-149.89622116088867
