,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation,Pearson Correlation coefficient
Best epoch (186) Train,0.051523404816786446,0.26504257,-0.9085730910301208,0.2654287,0.36897168,0.267397715184587,0.7671837
Best epoch (186) Validation,0.044507596641778946,0.24043202,0.41226881742477417,0.24152495,0.39517707,0.3300341204499272,0.76447165
