,Train RMSE,Validation RMSE,Train MAPE,Validation MAPE
0,18.131235,18.305836,0.3283706108729045,0.9827445447444916
1,18.915129,18.600407,0.32806913057963055,0.9799959063529968
2,18.88183,18.248339,0.326973835627238,0.9778890311717987
3,17.722322,17.940067,0.32593804597854614,0.9768744707107544
4,17.567232,17.650417,0.32533284028371173,0.9754001200199127
5,18.216825,18.073986,0.32552019755045575,0.9748519659042358
6,16.823462,17.96227,0.32337554295857746,0.9740091562271118
7,17.462273,18.222443,0.3242211739222209,0.9730998575687408
8,17.366701,17.955044,0.32303746541341144,0.9715348184108734
9,16.789125,18.5738,0.32226240634918213,0.9711055159568787
10,17.229906,18.029213,0.3225897550582886,0.9687438309192657
11,16.936502,17.825268,0.3214791417121887,0.9667292535305023
12,17.060072,18.001015,0.3214852412541707,0.9653727412223816
13,17.027567,17.76216,0.32083408037821454,0.963123083114624
14,16.914385,18.05577,0.31955357392628986,0.9618842601776123
15,17.892103,17.891312,0.32017314434051514,0.959170013666153
16,17.200247,18.150864,0.3190606435139974,0.9575939178466797
17,16.92595,17.883507,0.3176630139350891,0.9536732137203217
18,16.954252,17.745928,0.31718266010284424,0.9509142935276031
19,16.850328,17.370129,0.3152773976325989,0.9468562006950378
20,16.7035,17.743582,0.3135463396708171,0.9442439675331116
21,18.50152,17.583286,0.3174787362416585,0.9398079514503479
22,16.05776,17.468597,0.31026387214660645,0.9351579248905182
23,16.127308,17.517265,0.30761226018269855,0.9306768476963043
24,17.199614,17.164637,0.30920437971750897,0.9242556393146515
25,17.161741,17.313469,0.3074641823768616,0.9192194640636444
26,15.820377,16.884167,0.29983337720235187,0.911220371723175
27,17.156387,16.572372,0.3038675785064697,0.9025530219078064
28,16.659483,16.748325,0.2984544237454732,0.8961946666240692
29,16.823578,16.657644,0.2986736297607422,0.8878503739833832
30,16.61539,16.621647,0.29487860202789307,0.8786239624023438
31,16.62062,16.549065,0.2926339308420817,0.8670169115066528
32,16.283411,16.720812,0.28759555021921795,0.8592163324356079
33,15.428543,15.779398,0.28328214089075726,0.8414451777935028
34,16.110252,15.474599,0.28365155061086017,0.8289668262004852
35,14.70411,15.481372,0.268701434135437,0.8148874044418335
36,15.621216,15.302723,0.2742241621017456,0.8014223575592041
37,13.6990595,14.317316,0.2513846755027771,0.776944488286972
38,13.9276495,14.593422,0.25425148010253906,0.7643419802188873
39,13.899266,14.294016,0.24990534782409668,0.7457700967788696
40,13.382081,14.08555,0.24304203192392984,0.718220978975296
41,13.3507185,13.417335,0.23039120435714722,0.6950088441371918
42,12.288449,13.039452,0.21952911218007407,0.6740235090255737
43,13.281543,12.33996,0.22539091110229492,0.6407185196876526
44,12.309844,12.209052,0.22012853622436523,0.6134146451950073
45,11.989577,11.46747,0.20208249489466348,0.5827729403972626
46,11.649461,10.551756,0.19504356384277344,0.54506716132164
47,10.711567,10.060054,0.17904271682103476,0.504675030708313
48,10.184755,9.236939,0.16925315062204996,0.46725431084632874
49,9.020902,8.89534,0.14458483457565308,0.42987698316574097
50,8.355685,8.442917,0.1424205700556437,0.3938112258911133
51,7.0396175,7.2999277,0.10354079802831014,0.3287011384963989
52,6.3301544,6.798184,0.09083251158396403,0.29877373576164246
53,5.566211,5.742275,0.06427522997061412,0.24634213745594025
54,4.419272,4.828584,0.04087755084037781,0.20308582484722137
55,5.223446,4.4559507,0.06961267689863841,0.18436117470264435
56,3.954364,3.8008764,0.0571288118759791,0.1373361200094223
57,3.8300846,3.1354623,0.03168698400259018,0.1259186454117298
58,3.8309906,3.305193,0.10719744364420573,0.1479073166847229
59,3.105975,3.4061906,0.06058899064858755,0.17112994939088821
60,2.9537036,3.5472589,0.03383893767992655,0.18791446089744568
61,3.1883469,3.3974862,0.04875477155049642,0.1745038479566574
62,3.192274,3.5659914,0.051708961526552834,0.1903931125998497
63,3.2430427,3.371146,0.05186292032400767,0.16422655433416367
64,3.410453,3.2035751,0.05439333617687225,0.1552138775587082
65,3.219301,3.1800942,0.04498909910519918,0.14633794128894806
66,2.7504165,3.1518474,0.03223093847433726,0.13609053194522858
67,3.4201877,2.9738274,0.04933855434258779,0.12918950244784355
68,3.4216175,3.3653443,0.05172706147034963,0.1329270452260971
69,3.7590866,3.2247243,0.06379695733388265,0.14434201270341873
70,2.5637171,3.3877754,0.02372157573699951,0.14274582266807556
71,2.5657802,3.289939,0.027211089928944904,0.13423478975892067
72,3.9590085,3.434558,0.07043356696764629,0.14944078773260117
73,3.0445862,3.3874369,0.03478358189264933,0.14154300838708878
74,3.364682,3.279614,0.052915518482526146,0.13595041632652283
75,2.8314362,3.088554,0.03710370510816574,0.1274145282804966
76,2.8015006,2.833647,0.03718602657318115,0.1260651983320713
77,2.9024153,3.2897937,0.038165693481763206,0.13901583850383759
78,3.4623487,2.8396068,0.04665762186050415,0.12813309580087662
79,3.2757733,3.1586885,0.07519781092802684,0.13912773877382278
80,3.787241,3.385346,0.058512747287750244,0.1474965512752533
81,3.0149803,3.1584542,0.0508912056684494,0.14371010661125183
82,2.5644274,3.2903395,0.025797729690869648,0.1479327231645584
83,3.6874845,3.4139369,0.054732119043668113,0.14797767251729965
84,2.5581052,3.2418144,0.02291463812192281,0.13746145367622375
85,2.8296993,2.9557106,0.036897982160250344,0.1350242979824543
86,3.133155,3.087925,0.04141920059919357,0.13793879002332687
87,3.2106912,3.3590965,0.03580813606580099,0.14303316175937653
88,2.7785418,3.3195624,0.029077644149462383,0.14170879870653152
89,2.5959485,3.2904732,0.025474655131498974,0.14965179562568665
90,2.641341,3.3627634,0.031319133937358856,0.14537376165390015
91,2.512902,3.248977,0.01971882830063502,0.13906001299619675
92,2.794871,3.0492103,0.03412149101495743,0.1364489197731018
93,3.0455933,3.1861658,0.03741554915904999,0.13761229813098907
94,2.9930036,3.276637,0.04529467225074768,0.13612259179353714
95,2.5558617,3.2811432,0.02081586296359698,0.14509789645671844
96,2.638939,3.3464837,0.02470683554808299,0.14532018452882767
97,2.5275302,3.3672538,0.01917697737614314,0.15397006273269653
98,2.978872,3.2236464,0.052619293332099915,0.13660601899027824
99,2.5172665,3.0725598,0.019341257711251576,0.12993787974119186
100,3.2590456,3.3082342,0.043929616610209145,0.13953685015439987
101,2.5208893,3.1158228,0.020797635118166607,0.12853382900357246
102,3.3180332,3.1497264,0.07580496867497762,0.14190129935741425
103,2.8087385,3.0653915,0.03665757179260254,0.12580705434083939
104,3.1617086,3.0599794,0.06231957177321116,0.13000083714723587
105,3.0876102,3.4663181,0.05904098848501841,0.1434490904211998
106,2.9490516,3.3843637,0.03560783465703329,0.1333041712641716
107,2.6590455,3.2255898,0.023052677512168884,0.1343652606010437
108,2.461608,3.1991172,0.01466722289721171,0.1270659603178501
109,2.4214284,3.3520548,0.010565343002478281,0.12862306460738182
110,3.4615247,3.1095066,0.0892350971698761,0.11375371739268303
111,3.6987493,3.3380964,0.07196617126464844,0.13501376658678055
112,2.9378166,3.238532,0.03854233771562576,0.12819603830575943
113,2.8574715,3.3675122,0.029831203321615856,0.1355322003364563
114,3.3965595,3.2909071,0.035806273420651756,0.14152874052524567
115,2.6084013,2.513846,0.025363847613334656,0.1189905684441328
116,2.848974,2.98424,0.03658130268255869,0.1301628276705742
117,2.6651251,3.0262718,0.029669577876726787,0.13221270963549614
118,2.4768717,2.7161074,0.01558322956164678,0.12307220324873924
119,3.293833,3.2354355,0.04697374006112417,0.13893578946590424
120,3.2440002,3.150603,0.03142749021450678,0.1411946788430214
121,3.1848857,3.110217,0.06739040712515514,0.14163001626729965
122,3.4942386,3.3201256,0.05075982709725698,0.14858326315879822
123,2.6144564,3.2512445,0.030310754974683125,0.14220473915338516
124,2.5975673,3.045285,0.026733326415220898,0.13241469487547874
125,3.1922808,3.095059,0.07219982147216797,0.1329900175333023
126,3.5099916,3.4297996,0.06871665020783742,0.1382821798324585
127,2.761011,3.4120264,0.03419107695420583,0.141403928399086
128,3.005658,3.0970645,0.043190191189448036,0.13548633083701134
129,2.5759823,3.1890533,0.025253606339295704,0.14017606526613235
130,2.9249275,3.2521124,0.05102558434009552,0.13418206945061684
131,2.7662752,3.0863152,0.03199902425209681,0.13291236013174057
132,3.1503203,3.349272,0.04018739859263102,0.14395956322550774
133,3.0048828,3.1529202,0.05403984089692434,0.13340605422854424
134,3.6539857,3.1833932,0.0693121999502182,0.1298643946647644
135,3.1670399,3.2654057,0.06580631931622823,0.13748952001333237
136,2.7285087,3.0544488,0.030505749086538952,0.13358032703399658
137,3.3188772,3.0692885,0.08376499017079671,0.1350947692990303
138,3.245717,3.287402,0.07439739505449931,0.13689731061458588
139,2.7263997,3.1758046,0.032889885207017265,0.14136061817407608
140,3.1405895,3.2310243,0.06274635593096416,0.1417076513171196
141,2.9433124,3.2438555,0.038561840852101646,0.13575271144509315
142,2.5810184,3.2569094,0.024237051606178284,0.14752013981342316
143,3.2219408,3.1529198,0.03895122309525808,0.13707813248038292
144,3.2328522,3.167851,0.034684126575787864,0.14394088089466095
145,2.7927897,2.804734,0.034449818233648934,0.12395911291241646
146,2.8155286,3.2840571,0.033600407342116036,0.1522446796298027
147,3.5377262,3.1883607,0.0857217013835907,0.14037631452083588
148,3.5085125,3.2962542,0.049521361788113914,0.1507406383752823
149,3.2629035,3.2892656,0.07724898556868236,0.1501389965415001
150,3.0727332,3.3149352,0.04187284906705221,0.1485106199979782
151,3.131688,3.2367337,0.0632278174161911,0.15166983753442764
152,3.2686205,3.3002958,0.07910007238388062,0.14430397003889084
153,3.0362866,3.2274399,0.04018955181042353,0.1427461951971054
154,2.5799394,3.2251482,0.030070374409357708,0.13773589581251144
155,2.6715193,3.410799,0.030978011588255566,0.15083351731300354
156,3.1174042,3.1149,0.04621344804763794,0.13635549694299698
157,2.8877728,3.2879343,0.04211766024430593,0.13729805499315262
158,3.4628868,3.2368653,0.045766681432724,0.14408566802740097
159,2.5167015,3.24223,0.01926520715157191,0.13710493594408035
160,2.8743312,3.1612248,0.04125965138276418,0.12890534847974777
161,2.558159,3.1617115,0.023361096779505413,0.14232341200113297
162,3.3490791,3.398313,0.05012681086858114,0.14558322727680206
163,2.8472288,3.3262806,0.03752014537652334,0.14335552603006363
164,2.6966553,3.209406,0.033834551771481834,0.1445007175207138
165,2.8501205,3.0839763,0.04064572354157766,0.1409233845770359
166,2.632175,3.1538737,0.029257357120513916,0.1437852755188942
167,2.5520735,3.2533545,0.02170749505360921,0.12832003459334373
168,3.6107905,3.0788198,0.08640142281850179,0.1367362216114998
169,2.7827055,3.3397617,0.0326265941063563,0.14130770415067673
170,3.4299328,3.1946778,0.05868075291315714,0.12808503210544586
171,2.5465395,3.2231536,0.02694024642308553,0.13701195269823074
172,2.482234,3.2345824,0.024133572975794475,0.12733681499958038
173,3.1349916,3.2634068,0.060849895079930626,0.14207614213228226
174,3.1366165,3.2770767,0.06286889811356862,0.1322096399962902
175,3.0167801,3.1602468,0.050261542201042175,0.1430141143500805
176,2.9011743,3.1870303,0.030362350245316822,0.13030777499079704
177,2.4775603,2.9842353,0.0163969025015831,0.1303117386996746
178,3.0486019,3.2810698,0.05791879693667094,0.13975341618061066
179,3.5969956,3.3513317,0.07935845851898193,0.13775650411844254
180,3.0335858,3.335253,0.04989448686440786,0.14134253561496735
181,3.2879689,3.0908587,0.03464738776286443,0.13381007686257362
182,3.280194,3.3496232,0.03649439165989558,0.16351716965436935
183,2.6931283,3.1134655,0.03394759943087896,0.14432740956544876
184,3.3731825,2.999272,0.05598527193069458,0.14057094603776932
185,2.9752467,3.2500439,0.04499685764312744,0.1545310840010643
186,2.9110463,2.9587007,0.043108925223350525,0.1365862786769867
187,2.7179263,3.1448808,0.02706569681564967,0.14327125996351242
188,2.9399087,3.22679,0.04550266762574514,0.13619566336274147
189,3.2372005,3.2690325,0.04107515513896942,0.1366395354270935
190,2.5329762,3.3279374,0.021305851638317108,0.13430345803499222
191,2.9998486,3.331018,0.037181821962197624,0.13660892844200134
192,3.098163,3.260918,0.057501922051111855,0.134355828166008
193,3.6527107,3.015625,0.056507776180903115,0.12812818586826324
194,2.4666426,3.157598,0.016180183738470078,0.13795767724514008
195,2.886442,3.3800383,0.04801684617996216,0.14056945219635963
196,3.2087905,3.1224756,0.0409427136182785,0.1312483288347721
197,2.8769972,3.143778,0.03489493330319723,0.13831700384616852
198,2.8974617,3.168458,0.03515767057736715,0.13288715109229088
199,2.6482668,3.2387629,0.0274168203274409,0.1457490772008896
200,3.162081,3.3439717,0.06437993049621582,0.1543971635401249
201,2.7681599,3.2876325,0.03276568899552027,0.14452865719795227
202,3.1887474,3.333291,0.07425063848495483,0.15003125369548798
203,2.668514,3.3258023,0.029621293147404987,0.13314886763691902
204,2.814558,3.3256996,0.031090497970581055,0.14813481271266937
205,2.5853832,3.4041467,0.02861172954241435,0.15072689205408096
206,3.6485212,3.2087471,0.05558231472969055,0.1340704970061779
207,2.5671368,3.0480142,0.023675320049126942,0.13383149728178978
208,3.293646,3.4186444,0.03838136295477549,0.15485964715480804
209,3.8129253,3.0566723,0.08431464433670044,0.1348022073507309
210,3.3205776,3.2686613,0.05458705127239227,0.1508347988128662
211,3.0264795,3.3621864,0.05063006281852722,0.142969511449337
212,2.8747797,3.1655402,0.03887800872325897,0.14298120141029358
213,3.0113516,3.140903,0.047599141796429954,0.13226749747991562
214,2.5799592,3.3302054,0.02738731602827708,0.13386546820402145
215,3.4750226,3.2739315,0.06357001264890035,0.13419818133115768
216,3.056857,3.3200483,0.033503174781799316,0.13546709716320038
217,3.4412968,3.305934,0.050501724084218345,0.1414901241660118
218,3.527848,3.2294185,0.09149392445882161,0.13918457180261612
219,3.8356025,3.1504078,0.07218301296234131,0.14048223197460175
220,2.9901466,3.2264569,0.03615321715672811,0.13734456524252892
221,2.8968232,2.971963,0.04112409551938375,0.1381615735590458
222,2.9705784,3.0701418,0.03960828731457392,0.1409957855939865
223,3.510987,3.2432368,0.04913528263568878,0.15313856303691864
224,2.9810677,3.2517757,0.04609928528467814,0.14536095410585403
225,3.0274813,3.106623,0.042666966716448464,0.1511038988828659
226,2.7163744,3.224297,0.0356437141696612,0.14998077601194382
227,3.694692,2.999163,0.08678485949834187,0.13604961708188057
228,2.7398472,3.1740522,0.032885427276293434,0.13173867389559746
229,3.3369663,3.232017,0.04151787360509237,0.1408051699399948
230,2.4337842,3.0997796,0.01327981303135554,0.1376553550362587
231,3.4317548,3.266615,0.048598453402519226,0.14644641429185867
232,2.8028991,3.2261617,0.03387914597988129,0.14492667466402054
233,3.0015612,2.9533577,0.05280460913976034,0.13103339076042175
234,2.9107082,3.1895652,0.03840795656045278,0.1380825787782669
235,3.2167675,3.240555,0.07237846155961354,0.1429898664355278
236,3.3298795,3.1867998,0.03920957694451014,0.14210223406553268
237,3.5438328,3.104796,0.08027397592862447,0.13716267049312592
238,3.016073,3.2469797,0.03774858514467875,0.13719898462295532
239,3.2999992,3.2407577,0.039301795264085136,0.1393696516752243
240,2.672388,3.055193,0.02258581171433131,0.13892711326479912
241,2.8074033,3.2365155,0.03612166146437327,0.15508808940649033
242,3.0917053,3.3207965,0.04715920488039652,0.15485778078436852
243,3.2783916,3.0131245,0.04461081326007843,0.13606306910514832
244,3.3156729,3.3147674,0.08036571741104126,0.14878582954406738
245,2.7344558,3.0231583,0.02679716298977534,0.13236485794186592
246,2.4938862,3.2509227,0.018751053760449093,0.14685768634080887
247,3.1078377,3.2412734,0.038512468338012695,0.13968893140554428
248,2.664594,3.231192,0.024204562107721966,0.1345534659922123
249,2.5396824,3.2211232,0.02265895406405131,0.1376868411898613
250,2.4966428,3.2121444,0.02295676867167155,0.1384289190173149
251,3.155446,3.272783,0.042138109604517617,0.1283937506377697
252,3.110389,3.4576383,0.05074409147103628,0.15713518485426903
253,3.1309993,3.0140297,0.0410760243733724,0.12614502757787704
254,2.8164976,3.3611307,0.03641772518555323,0.15209348872303963
255,2.5608191,3.1981087,0.02383318543434143,0.1318117193877697
256,2.8743012,3.4091058,0.040040090680122375,0.15379858762025833
257,2.8817856,3.3320475,0.03906631718079249,0.14064889401197433
258,3.5247536,3.2717266,0.07371230920155843,0.13487933576107025
259,2.7381334,3.246095,0.03194138656059901,0.1400415450334549
260,3.7276897,3.24477,0.062203908960024513,0.13781293481588364
261,2.8510916,3.199113,0.03912738958994547,0.14067066460847855
262,3.0861492,3.2938066,0.05325902998447418,0.14221562445163727
263,3.338115,3.2480474,0.04719978074232737,0.1470913514494896
264,3.6881702,3.3257277,0.057182942827542625,0.15423402190208435
265,2.9746835,3.3590014,0.055406972765922546,0.14727991819381714
266,3.2677765,3.0736396,0.07477753857771556,0.1420990154147148
267,2.6389582,3.3413525,0.0337116022904714,0.1421665921807289
268,2.5458457,3.0872688,0.02429109811782837,0.1321686953306198
269,3.8323956,3.240973,0.06286193430423737,0.13106943294405937
270,3.3526754,3.4343102,0.06331391135851543,0.14732975140213966
271,2.671729,3.0516903,0.02720200518767039,0.1286327913403511
272,3.6194928,2.9968772,0.0805468459924062,0.12489856779575348
273,2.7064407,3.2382798,0.02378118286530177,0.14739475399255753
274,3.1641788,3.0862732,0.03665390610694885,0.13836845755577087
275,2.873833,3.110102,0.0415351539850235,0.13892880454659462
276,3.2552576,3.2964497,0.08021406332651775,0.15429696440696716
