,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train CRMSD,Train data based prediction,Train data Standard Deviation,Train Pearson Correlation coefficient
0,1,1,0.08542452922605245,0.9833757935026453,0.00040676037308118307,0.9876495909264026,0.0005364732348560235,0.9835758536894537,0.3731687964789502
1,1,1601,0.07190169780216638,0.863954449032923,0.2284466275599052,0.8715918647873719,0.2591073671924395,0.9835758536894537,0.5656137389115636
2,1,3201,0.06550541743725115,0.8127653243542643,0.3171668194135723,0.819857066581703,0.3461141881822544,0.9835758536894537,0.6266496918282779
3,1,4801,0.06123984196023826,0.774254722647945,0.38034207390142905,0.7805928934535126,0.421797192404899,0.9835758536894537,0.6578808527060369
4,1,6401,0.058749182029132714,0.7480848407446438,0.42152313948613906,0.7586960690490658,0.45408863267089783,0.9835758536894537,0.6873573042016863
5,1,8001,0.05707556661049878,0.7238114796555247,0.45845416939347805,0.7381236709357769,0.4828912919048531,0.9835758536894537,0.7123991724712304
6,1,9601,0.055278462335335316,0.7048342666780516,0.4864788884219643,0.7232471717422371,0.502025945432579,0.9835758536894537,0.7317717611246646
7,1,11201,0.0537233672515353,0.6895732114404582,0.5084756400219745,0.7111792351113644,0.5196407851772683,0.9835758536894537,0.7453892131897439
8,1,12801,0.05247049917990616,0.6710934019804922,0.5344672691053026,0.6945334541905055,0.5317575269758845,0.9835758536894537,0.7646125055521453
9,1,14401,0.05084402822335202,0.6560177408226749,0.5551480982327357,0.6802756797731998,0.5520989099174166,0.9835758536894537,0.7751630761272236
10,2,1,0.08543968754355115,0.9835209958007496,0.00011154474498009659,0.9877582785998976,0.0003915364817733772,0.9835758536894537,0.1403234648991568
11,2,1601,0.06449114841243775,0.7871385604711852,0.3595478919749544,0.8045967710134665,0.31912262521844104,0.9835758536894537,0.7163541002671727
12,2,3201,0.055449748605861854,0.6895867201662209,0.508456381928093,0.715749287614877,0.45846706886780203,0.9835758536894537,0.7785067346285487
13,2,4801,0.04983614173430232,0.6129284247812723,0.6116674381814717,0.6235409969244613,0.5408664376400737,0.9835758536894537,0.8311200125715309
14,2,6401,0.045206429565225636,0.551115470262356,0.6860434938307429,0.55509428162335,0.5933386243600088,0.9835758536894537,0.8702496069076002
15,2,8001,0.0405436601594881,0.4987444032614838,0.7428773393194137,0.5088249373940185,0.6307592145159596,0.9835758536894537,0.8998497186219947
16,2,9601,0.03706668633652655,0.4522055822024899,0.7886237828718936,0.46323149823464044,0.6666129497491755,0.9835758536894537,0.9206729713552187
17,2,11201,0.03348021204522103,0.41258986939448933,0.8240369814270656,0.4264198378358882,0.699269186842385,0.9835758536894537,0.935008641091337
18,2,12801,0.030495435569152234,0.3761778654560751,0.8537247804438793,0.38787633413863626,0.7261828304329557,0.9835758536894537,0.9473186030924994
19,2,14401,0.028095097221980735,0.3436831823484148,0.8779041661594905,0.35005850016430823,0.7483949379626004,0.9835758536894537,0.957337459081514
20,3,1,0.0854243079710475,0.9831269620428099,0.0009125665513443071,0.9873959344594453,0.0008589889487959549,0.9835758536894537,0.5229118855094592
21,3,1601,0.05961274866958511,0.7242347247869922,0.45782065180932696,0.7368966035925092,0.3789101692217269,0.9835758536894537,0.7868581155130441
22,3,3201,0.04853308208667503,0.5916272921909533,0.6381899023830495,0.5938425530345673,0.5325182788101028,0.9835758536894537,0.8600825408042765
23,3,4801,0.0406715410645368,0.4929990314125908,0.7487671557507454,0.5035720930184494,0.6197361810257467,0.9835758536894537,0.9092233579314662
24,3,6401,0.033570841985153706,0.41012887993610403,0.8261298667444952,0.42295962230659817,0.6886723418851567,0.9835758536894537,0.9400339932409002
25,3,8001,0.02860211129651738,0.3501459847992816,0.8732690810104531,0.3571370317628503,0.7335571790360023,0.9835758536894537,0.9583606142540932
26,3,9601,0.024848734576331667,0.30181660522770837,0.905839112567488,0.3027571127269366,0.7715241806196639,0.9835758536894537,0.9696078972947442
27,3,11201,0.021131562698291417,0.257473767746775,0.9314748082181297,0.25761864243202914,0.8058793171809535,0.9835758536894537,0.9781010835221762
28,3,12801,0.01806090328960164,0.221643213203485,0.9492199460190297,0.22192868514538477,0.8346785713533225,0.9835758536894537,0.9835843510345152
29,3,14401,0.015859086865199417,0.19219289605359743,0.961817976112541,0.19300356738663085,0.856568994819368,0.9835758536894537,0.9876528056786376
30,4,1,0.08541657280488675,0.9831451044681508,0.0008756922978333526,0.9873979762613687,0.0008829722693928016,0.9835758536894537,0.4881821460062169
31,4,1601,0.0555506381439414,0.6746094183951388,0.5295764191484824,0.675796615569291,0.40406504678248084,0.9835758536894537,0.8499542237513327
32,4,3201,0.0427272263710511,0.517466011872361,0.7232115633925482,0.5229712094978856,0.5740834278572414,0.9835758536894537,0.9113871044780371
33,4,4801,0.032998274835361045,0.4008532746412826,0.8339055370994897,0.4095906076457282,0.679495265202642,0.9835758536894537,0.9489639955437588
34,4,6401,0.025685686679046922,0.31506923875180054,0.8973884399756366,0.31525010948010496,0.7509443265943782,0.9835758536894537,0.969436100283543
35,4,8001,0.020476449691896964,0.24924360486135394,0.9357856145068447,0.25023746361473426,0.8057647131024841,0.9835758536894537,0.980755627613311
36,4,9601,0.016904774304992095,0.2065141834765338,0.9559156895499284,0.20862576651170098,0.839728247363666,0.9835758536894537,0.9867085026482237
37,4,11201,0.01368967617045077,0.1656979682610292,0.971619591024018,0.16899802923240004,0.8722378410246785,0.9835758536894537,0.9912243075238109
38,4,12801,0.011397084821636577,0.13816165333852026,0.9802685352317859,0.14006012618188177,0.894880061286388,0.9835758536894537,0.9936254846815932
39,4,14401,0.00932544720111811,0.1147115088978723,0.9863981410189536,0.11989251696074599,0.9137095330933732,0.9835758536894537,0.9953948263908998
