,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient
0,1,1,0.20456592336032903,5.834625481860676,0.0011201347194943478,0.7276858636535007
1,2,1,0.20447741768725042,5.83288746401674,0.0017151386198618335,0.8273172322662479
2,3,1,0.20452191981915496,5.83565576807272,0.0007673364058151666,0.636053702092171
3,4,1,0.2044716002318218,5.8324164510256695,0.0018763576238532975,0.8788211395741379
4,1,3500,0.08731403355221205,2.530069053532129,0.812175587350582,0.904191450364623
5,2,3500,0.07400604876410516,2.171003250630796,0.8617044398648647,0.932923629000153
6,3,3500,0.058882150735492064,1.7470019988887606,0.9104482465230073,0.9582673106727639
7,4,3500,0.04910079201110817,1.4643643498119285,0.9370804533222846,0.9721577902163474
8,1,7000,0.0794151694251641,2.3399529161059474,0.8393423064871541,0.9173193970927876
9,2,7000,0.05827061612022243,1.7282830172182215,0.9123570443729165,0.9569415808036279
10,3,7000,0.04062105018430123,1.2132792595741728,0.956807450718802,0.9796063336516725
11,4,7000,0.02996478184237987,0.8860058322254032,0.9769664726095716,0.9895184378190047
12,1,10500,0.07420805568677774,2.195778449757374,0.858530008616193,0.9276295442183529
13,2,10500,0.04722496873553392,1.4142476196088294,0.9413135008572411,0.9715933047648734
14,3,10500,0.030517724848940733,0.8998113895257904,0.976243073050188,0.9890320992217184
15,4,10500,0.019139119215700804,0.5631976301649992,0.9906930168500965,0.9958465265376222
