,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient
0,1,1,0.08543880749671445,0.9834008191452593,0.0003558830144045899,0.3478877476869522
1,2,1,0.08540817039941423,0.9833487862443285,0.0004616649218857072,0.39275989352812635
2,3,1,0.08541864083635492,0.9832578602338913,0.0006465023519660607,0.32321880119314894
3,4,1,0.08541177614231561,0.9833412261642293,0.00047703395662368475,0.2707535584066366
4,1,4000,0.06300354689721803,0.7922038098404873,0.35127873186612624,0.6436758685832813
5,2,4000,0.05223360413567619,0.6474657137460381,0.566670920765399,0.8081690744816135
6,3,4000,0.04409522465308339,0.5361129999097987,0.7029038939410244,0.8902778366142351
7,4,4000,0.037094932299126485,0.45160482295155846,0.7891850402808478,0.9348427548111646
8,1,8000,0.056828733817044896,0.7252174267246617,0.45634830547755634,0.7125889357966526
9,2,8000,0.04025707200158807,0.4932012484947492,0.7485610133905845,0.9001432492311499
10,3,8000,0.02898996878607228,0.3522861877781749,0.8717151073904329,0.9580722567875656
11,4,8000,0.020483705405847298,0.25128935411083186,0.9347271669040826,0.9805432529851545
12,1,12000,0.053318178153174633,0.6791180506331845,0.5232674219213218,0.7554411139628978
13,2,12000,0.032111300664773273,0.39389277838912,0.8396236518534899,0.9418918075439843
14,3,12000,0.019563930545030066,0.23833778124135668,0.9412821605493985,0.9811845572500731
15,4,12000,0.012537944679571648,0.15222271812896923,0.9760479202978325,0.9924290460510102
