,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train CRMSD,Train data based prediction,Train data Standard Deviation,Train Pearson Correlation coefficient
0,1,1,0.05392216696618361,0.26723548504127687,0.00121303153768193,0.27616913788769143,0.00023332354970153626,0.267397715184587,0.6955348857237589
1,1,1401,0.031065738913580436,0.17343716844010146,0.5793034359573286,0.17426393118491473,0.14108001270378875,0.267397715184587,0.8127968201440652
2,1,2801,0.02536144190212212,0.15356594157175701,0.6701819423454003,0.15415501930399653,0.1837987776548644,0.267397715184587,0.8311897487808257
3,1,4201,0.02321572035963375,0.1443145167629201,0.7087240315937874,0.1449621723630037,0.19991726265117063,0.267397715184587,0.8478059899589991
4,1,5601,0.022477178732407604,0.13864659529900628,0.7311543373388345,0.13902104710458704,0.20907969674454643,0.267397715184587,0.8585322341402113
5,1,7001,0.022081806519520537,0.13381772200970954,0.7495552794634248,0.13464519357072788,0.21433955052721362,0.267397715184587,0.8683421427494598
6,1,8401,0.021796569630414257,0.12986443672360248,0.764134137852128,0.13090674941171002,0.21750754019766513,0.267397715184587,0.8764231437971871
7,1,9801,0.021505880787242904,0.12613730387617594,0.777478640948565,0.127560707132001,0.21966869181809273,0.267397715184587,0.8839655903959915
8,1,11201,0.020943693837863764,0.12282704125889964,0.7890047897111944,0.1238049514361818,0.22060825476339804,0.267397715184587,0.8906833771910398
9,1,12601,0.020468282148246857,0.11910694103562479,0.8015921925230038,0.12127028637256396,0.22219968870097181,0.267397715184587,0.8978105262745707
10,2,1,0.0539324511841267,0.26726227505788724,0.0010127672600929172,0.2762410521498091,0.0001755139650435659,0.267397715184587,0.7718191201153771
11,2,1401,0.027484007963389977,0.15416894135681916,0.667586696519513,0.15644248380197717,0.15771137780098007,0.267397715184587,0.8608462799750287
12,2,2801,0.02125315316840793,0.12751872325061261,0.7725779722399503,0.1296410784428237,0.20024080872135547,0.267397715184587,0.8902691563747571
13,2,4201,0.019027123781699132,0.11247607102877771,0.823068609533048,0.11422351421132523,0.21633424003498436,0.267397715184587,0.9131939302022892
14,2,5601,0.01760549331812169,0.10161174653180997,0.8555982527140148,0.10294357351075337,0.22559257417498602,0.267397715184587,0.9289060101308872
15,2,7001,0.01635206313574255,0.09217920457485221,0.881163315034707,0.09507283077323338,0.22981899096879882,0.267397715184587,0.9423622216520443
16,2,8401,0.014935543509144186,0.08422292633401204,0.900792325449856,0.08721448915192204,0.23290173395158575,0.267397715184587,0.9526114077337122
17,2,9801,0.013723388180852739,0.07637914983479649,0.918410502967437,0.08144096701411997,0.23694787143057305,0.267397715184587,0.9612843394106558
18,2,11201,0.012728430660029363,0.07129154389605966,0.9289178335579974,0.07732504617289732,0.2390821839475875,0.267397715184587,0.9665220393519283
19,2,12601,0.011583407739926749,0.06550186496899067,0.939994377334105,0.07148827463152968,0.24140386506821274,0.267397715184587,0.9720008815322221
20,3,1,0.053915153516389584,0.2671724547809912,0.0016841245022166662,0.27613280919201605,0.00027995666652377816,0.267397715184587,0.804810587662818
