,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (186) Train,0.01808114970723788,0.26504257,-0.8168280919392904,0.07416367,0.09038693,0.03989569
Best epoch (186) Validation,0.044507596641778946,0.24043202,0.3785479664802551,0.0826467,0.20725995,0.16629095
