,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (88) Train,0.03762482851743698,2.6490593,-0.1541146437327067,0.57528657,0.44396397,0.5458173
Best epoch (88) Validation,0.12106600776314735,2.6528735,0.11910536885261536,0.91985,0.89360267,1.0021528
