,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation,Pearson Correlation coefficient
Train,0.08924883919927248,2.2847504149119775,0.6875905301918945,2.2847504149119775,3.389546633607999,4.087677927606792,0.8292107875515697
Test,0.11298559359276879,2.8254791627211966,0.5091884349917655,2.8250097922894986,2.5896138051183506,4.033060297289175,0.7176798255646113
