,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Best epoch (88) Train,0.1223256712158521,2.6490593,0.16827058792114258,2.6471567,1.9935595,4.087677927606792
Best epoch (88) Validation,0.12106600776314735,2.6528735,0.3314090073108673,2.7695389,2.0414214,4.033060297289175
