,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.07242987407086778,2.3388816125728145,0.8394893810322117,2.3539018082395167,5.348893592208313,5.837896012982625
Test,0.08755257675648942,2.828422955349444,0.752251276981798,2.835997580891248,4.66177643366515,5.682489487615398
