,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.021636483506341238,0.14707266339510336,0.697483873813569,0.14963525307507924,0.2233185387911362,0.267397715184587
Test,0.03576352677120991,0.2399803846748304,0.47127017737832244,0.2403505403675257,0.20588289823466632,0.3300341204499272
