,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (187) Train,0.02894349644581477,1.1139516,-0.19190927346547446,0.36534464,0.46702564,0.89820284
Best epoch (187) Validation,0.08416682295501232,0.9789754,0.04713854193687439,0.3566646,0.35298645,1.030746414734295
