,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (95) Train,0.04478142658869425,3.9846156,0.19223833084106445,1.5040637,1.283307,7.558671
Best epoch (95) Validation,0.10487077757716179,2.9060159,0.4074212312698364,0.68599,1.2167456,5.682489487615398
