,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation,Pearson Correlation coefficient
Train,0.0619173920752,0.7929216829393261,0.3501024927638883,0.7929216829393261,0.5819765155791118,0.9835758536894537,0.5916945941648346
Test,0.07785205020046555,0.9725434895804298,0.10974505198647622,0.9625924126677537,0.6080233431900713,1.030746414734295,0.4033285308252717
