,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient
0,1,1,0.20456712137404184,5.834791345630291,0.001063342613379592,0.7660344335749786
1,2,1,0.20448574538061653,5.8340248848027025,0.0013257669175191777,0.8332204096589584
2,3,1,0.20446177478908042,5.832321351308239,0.001908906912226116,0.8462019240444227
3,4,1,0.20447127449180652,5.832954709084965,0.0016921208191646997,0.8845429718110631
4,1,3500,0.08725010534390108,2.5396200810413103,0.8107548339112496,0.9032203895436939
5,2,3500,0.07427975484678058,2.187668699207342,0.859573071665492,0.9315434922648487
6,3,3500,0.05863944255563554,1.74679404885368,0.9104695643943777,0.9580119522536863
7,4,3500,0.04985493521625542,1.4833664692403656,0.9354369251396198,0.9718024608256985
8,1,7000,0.0794306997322077,2.333422407169847,0.8402378052275739,0.9176211534269512
9,2,7000,0.058555941188480856,1.7266643058653337,0.912521140425141,0.957266980593614
10,3,7000,0.04112296484800462,1.231951667723621,0.9554677508891941,0.979087637453136
11,4,7000,0.029585435156382574,0.8806484269153145,0.9772441837863857,0.9897018470838104
12,1,10500,0.07456790531056035,2.1938900314078635,0.8587732386635989,0.9275620010500304
13,2,10500,0.047460706595835546,1.4189245391596959,0.9409247063191838,0.9714373354809018
14,3,10500,0.030042143174465845,0.8841899717640886,0.977060789846539,0.9894916361140946
15,4,10500,0.019719262932411784,0.573298106113907,0.9903561975726858,0.9957177170962027
