,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.06322233347733446,0.7916285615078439,0.3522205105722155,0.7987877971985218,0.3887264990261965,0.9835758536894537
Test,0.0723964070075832,0.9654739238598679,0.1226408061485521,0.9718630234414362,0.40944568014846683,1.030746414734295
