,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.023942331130168772,0.14840790152058958,0.6919659936927044,0.14881824963145032,0.1940727507066422,0.267397715184587
Test,0.04206783064657127,0.2571955540374449,0.39269168014932043,0.25506815952283013,0.1594764617839421,0.3300341204499272
