,Pressure Ratio,Rated Thrust (kN),Fuel Flow Idle (kg/sec),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),NOx EI Idle (g/kg),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg)
88,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
89,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
90,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
91,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
92,22.4,91.6,0.094,0.896,0.746,0.268,3.8,15.61,13.5,8.0
93,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
94,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
95,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
96,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
97,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
98,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
99,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
100,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
101,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
102,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
103,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
104,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
105,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
106,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
107,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
