,No. Deep Layers,Epoch,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient,Train CRMSD,Train data Standard Deviation,Train data based prediction Standard Deviation
0,1,0,2.00101367632548,17.809946,-406.73423258463544,-0.43669352,1.8053554,0.9835758536894537,1.1740154
1,1,1,2.0116990407307944,17.802298,-311.9378153483073,-0.29907703,1.9943691,0.9835758536894537,1.3544182
2,1,2,1.9814470211664836,18.08127,-369.3737284342448,-0.50533825,1.9712719,0.9835758536894537,1.3137535
3,1,3,1.9322540760040283,17.220411,-14637.537872314453,-0.13847601,1.5211191,0.9835758536894537,1.0577509
4,1,4,1.8745086193084717,16.631882,-336.5613555908203,-0.5939627,1.6715351,0.9835758536894537,0.93205595
5,1,5,1.8740036487579346,16.831343,-377.4454040527344,-0.52661973,2.1156862,0.9835758536894537,1.4844567
6,1,6,1.8551615476608276,16.26937,-332.5874379475911,-0.29515854,1.5885497,0.9835758536894537,0.9385676
7,1,7,1.8289857705434163,16.182436,-241.67977396647134,-0.29674116,1.7909956,0.9835758536894537,1.1099756
8,1,8,1.7521322170893352,15.613815,-345.7104034423828,-0.39449152,1.4867954,0.9835758536894537,0.8500568
9,1,9,1.7306522130966187,15.245808,-448.66583251953125,-0.34790826,1.5333132,0.9835758536894537,1.0103692
10,1,10,1.7265390157699585,15.25972,-454.62156677246094,-0.6042493,1.7993364,0.9835758536894537,1.164517
11,1,11,1.6831770340601604,14.806008,-462.29029846191406,-0.57938653,1.5421871,0.9835758536894537,0.9532339
12,1,12,1.6931528250376384,14.472786,-239.14602661132812,-0.14539397,1.4451979,0.9835758536894537,0.86246777
13,1,13,1.6307692130406697,14.414128,-196.69212849934897,-0.5098115,1.7988592,0.9835758536894537,0.8956103
14,1,14,1.6103260119756062,14.832733,-235.44832356770834,-0.5081542,1.7837238,0.9835758536894537,1.0400271
15,1,15,1.571881095568339,13.929047,-671.1577453613281,-0.62017626,1.3818253,0.9835758536894537,0.77766365
16,1,16,1.557031551996867,13.621014,-345.77833048502606,-0.2597562,1.409112,0.9835758536894537,0.8939411
17,1,17,1.5043658415476482,13.402562,-180.05513509114584,-0.54005843,1.6239319,0.9835758536894537,0.7647426
18,1,18,1.4869391520818074,12.917,-169.7317148844401,-0.18375377,1.4462525,0.9835758536894537,0.7452207
19,1,19,1.4515883127848308,12.849048,-186.68958536783853,-0.08363553,1.2342095,0.9835758536894537,0.8117865
20,1,20,1.4213095903396606,12.669182,-195.63915506998697,-0.42380318,1.4402237,0.9835758536894537,0.7612545
21,1,21,1.4123540719350178,12.741233,-170.92486572265625,-0.6047972,1.6440125,0.9835758536894537,0.81906086
22,1,22,1.3807570934295654,12.537972,-219.0806121826172,-0.5552934,1.5233717,0.9835758536894537,0.74930865
23,1,23,1.3408588965733845,12.199577,-391.2714131673177,-0.40846324,1.3140186,0.9835758536894537,0.7243474
24,1,24,1.3154715696970622,11.82,-132.67398325602213,-0.3084188,1.4005159,0.9835758536894537,0.63708514
25,1,25,1.286792556444804,11.181702,-247.8773651123047,-0.34483775,1.1157769,0.9835758536894537,0.5133416
26,1,26,1.253542383511861,11.31911,-148.54810078938803,-0.527656,1.3004193,0.9835758536894537,0.5235643
27,1,27,1.2370365063349407,11.031452,-127.85622660319011,-0.5297273,1.3764439,0.9835758536894537,0.58091176
28,1,28,1.2023500601450603,10.917073,-154.81344858805338,-0.5585228,1.4078025,0.9835758536894537,0.6227091
29,1,29,1.1540462970733643,10.306786,-132.47166951497397,-0.39609528,1.175644,0.9835758536894537,0.4354602
30,1,30,1.134374737739563,10.045596,-221.52185821533203,-0.640228,1.081895,0.9835758536894537,0.364527
31,1,31,1.1236081918080647,10.017273,-107.53726704915364,-0.49941063,1.3329954,0.9835758536894537,0.5020635
