,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.08614970949513694,2.5433438551835845,0.8231192175008758,2.5432672759404356,5.064015078621049,6.04734512200944
Test,0.10498378633391504,3.176240273398247,0.6703560141324281,3.1761790401652537,4.814143802202568,5.5321095255308474
