,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train CRMSD,Train data based prediction,Train data Standard Deviation
0,1,1,0.08544083029708974,0.983376680031995,0.0004049580729839075,0.9876411953599106,0.000572321198142595,0.9835758536894537
1,1,1601,0.07212057417110834,0.8646179685038543,0.22726106211255948,0.8722455342739671,0.26336154607961776,0.9835758536894537
2,1,3201,0.06524829116055052,0.8132202548983027,0.3164021986822956,0.8187257585100574,0.3452367295515465,0.9835758536894537
3,1,4801,0.061143389200897416,0.7730960308608424,0.3821953536601084,0.7805205848945311,0.4207983157919191,0.9835758536894537
4,1,6401,0.05883827728802578,0.7472195570115708,0.42286057371198627,0.757404215028463,0.45098391809937133,0.9835758536894537
5,1,8001,0.05692933454995597,0.7245798640382987,0.4573037697644641,0.737904158477489,0.4851655138260955,0.9835758536894537
6,1,9601,0.05528842797680404,0.7060297606979312,0.48473540889685707,0.7205176711758584,0.5015159732415144,0.9835758536894537
7,1,11201,0.05373509615715695,0.6864327689745336,0.5129424291031635,0.71276756232725,0.5205706505414822,0.9835758536894537
8,1,12801,0.052281976451960824,0.6725996642742101,0.5323751569455089,0.698290172866178,0.5362330614683544,0.9835758536894537
9,1,14401,0.051172762841765855,0.6556187330876028,0.555689075583718,0.6772417303630182,0.5410051279543989,0.9835758536894537
10,2,1,0.08543970355889893,0.9835401948756357,7.250720377549591e-05,0.9877674448815544,0.00054626040504035,0.9835758536894537
11,2,1601,0.0644129484232758,0.7895919816265132,0.35554923758456025,0.8028009297619659,0.3168374199326033,0.9835758536894537
12,2,3201,0.055550863925248176,0.6869376879904384,0.5122256361764991,0.7084880626503992,0.45779789888949196,0.9835758536894537
13,2,4801,0.04932385602574234,0.6086296765996847,0.6170954453989537,0.621039082339597,0.539799688299402,0.9835758536894537
14,2,6401,0.045014977813599526,0.5530908027424241,0.6837888668599402,0.55653905420373,0.5932245132383368,0.9835758536894537
15,2,8001,0.040479320941322464,0.49473114788952927,0.7469986775960354,0.502493147766616,0.6361092586479842,0.9835758536894537
16,2,9601,0.03692150661271809,0.44918727609823544,0.7914360830731423,0.4609405371580273,0.6684289800889477,0.9835758536894537
17,2,11201,0.03355972030497015,0.40805455672351,0.8278841971631026,0.4223101704196796,0.69959288313711,0.9835758536894537
18,2,12801,0.030669017523882625,0.37530990135836245,0.8543990102686876,0.38778870050567854,0.7264325704005834,0.9835758536894537
19,2,14401,0.02780792329772716,0.34374870285832054,0.8778576084909786,0.34990339307373564,0.7482502516474282,0.9835758536894537
20,3,1,0.08540765411379417,0.9831751559656702,0.0008146115063951687,0.9873986644796577,0.0008682838410930964,0.9835758536894537
21,3,1601,0.059102296721275295,0.7172107378213634,0.46828630153910955,0.7305689674395327,0.3889580987921872,0.9835758536894537
22,3,3201,0.04847941902612507,0.5908038992915549,0.6391962946199276,0.5936870015640315,0.5311520577999131,0.9835758536894537
23,3,4801,0.040423011544905886,0.49335465434698056,0.7484045733535242,0.5041499530081045,0.618735593188017,0.9835758536894537
24,3,6401,0.03383777158247804,0.4114326485315925,0.8250226697632322,0.4245822846462756,0.6877655983801807,0.9835758536894537
25,3,8001,0.028933011288599327,0.3538250577367518,0.8705919016025645,0.3608035959438755,0.731751666208505,0.9835758536894537
26,3,9601,0.024657482763088448,0.3014979818728971,0.9060378161581197,0.3021660205640373,0.7722062662553142,0.9835758536894537
27,3,11201,0.021110463945846692,0.2565638366064073,0.9319582984474449,0.2567167060718126,0.8044252596398627,0.9835758536894537
28,3,12801,0.018021595353609487,0.2186963885968412,0.9505612472280367,0.21933384679450008,0.8352635182805154,0.9835758536894537
29,3,14401,0.016013678709919533,0.19359953973431698,0.9612570287753873,0.19456359344113608,0.8543071236628358,0.9835758536894537
30,4,1,0.08541196361323813,0.9830658359248423,0.0010367996161354531,0.9873140971864275,0.0008911105086116612,0.9835758536894537
31,4,1601,0.05559124123588277,0.6730240966072564,0.5317847976699802,0.6738225120749931,0.4094015969338531,0.9835758536894537
32,4,3201,0.04239914567705798,0.5147032986968814,0.7261591801983099,0.5212129320790296,0.573047636345356,0.9835758536894537
33,4,4801,0.03304086708789209,0.403195241877348,0.8319590687195453,0.4100917464628075,0.6746525190402908,0.9835758536894537
34,4,6401,0.025824875431988543,0.31709191239100015,0.896066724726324,0.3171752892831253,0.7477319425973826,0.9835758536894537
35,4,8001,0.02041805202109835,0.25013037596536053,0.9353278714913985,0.2509845587583723,0.8032533285919556,0.9835758536894537
36,4,9601,0.016768858135903168,0.20513167258472711,0.9565039594024441,0.20712965012261375,0.8403463587191798,0.9835758536894537
37,4,11201,0.013675413009152437,0.1654308351853702,0.9717110252740991,0.16917866407746418,0.8732417301868945,0.9835758536894537
38,4,12801,0.011187450616169579,0.13674202353420425,0.9806719389902888,0.1369867160335557,0.8959951730150207,0.9835758536894537
39,4,14401,0.00939372710437393,0.11520600522068165,0.9862806189564539,0.12067359907712777,0.9123240966917038,0.9835758536894537
