,No. Deep Layers,Epoch,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient,Train CRMSD,Train data Standard Deviation,Train data based prediction Standard Deviation
0,1,0,1.2470968961715698,5.179838180541992,-350.624018351237,-0.4996090233325958,0.3362988,0.267397715184587,0.080076985
1,1,1,1.2324151992797852,5.126763343811035,-759.4040018717448,-0.2759498059749603,0.27088276,0.267397715184587,0.07533699
2,1,2,1.2223179340362549,5.044111251831055,-440.63465372721356,-0.5897272229194641,0.28191915,0.267397715184587,0.053510014
3,1,3,1.2045909563700359,5.07326078414917,-406.2942199707031,-0.33593109250068665,0.289586,0.267397715184587,0.054109037
4,1,4,1.1929327646891277,4.9475626945495605,-410.6651916503906,-0.5098591446876526,0.28413376,0.267397715184587,0.056801427
5,1,5,1.174221396446228,4.889312267303467,-302.32481892903644,-0.18295525014400482,0.31921527,0.267397715184587,0.07172201
6,1,6,1.16173255443573,4.809551239013672,-375.943115234375,-0.0541551411151886,0.26986793,0.267397715184587,0.07427015
7,1,7,1.1491844256718953,4.731114864349365,-449.31736246744794,-0.18106164038181305,0.27506247,0.267397715184587,0.07474115
8,1,8,1.1364466746648152,4.7320027351379395,-311.26214599609375,0.2615298926830292,0.27850354,0.267397715184587,0.045295257
9,1,9,1.1270956993103027,4.664877414703369,-525.4018961588541,0.02980470471084118,0.24243689,0.267397715184587,0.046448216
10,1,10,1.1175847450892131,4.63271951675415,-300.84532674153644,0.1558309942483902,0.27155837,0.267397715184587,0.041226316
11,1,11,1.1015281279881795,4.630245208740234,-266.562505086263,-0.01072035264223814,0.31085548,0.267397715184587,0.036020573
12,1,12,1.0959345897038777,4.498846530914307,-387.8177490234375,0.4454936981201172,0.23804985,0.267397715184587,0.038103994
13,1,13,1.0891536474227905,4.5189032554626465,-250.0023651123047,0.3473800718784332,0.31521788,0.267397715184587,0.03373848
14,1,14,1.0798211495081584,4.513870716094971,-255.92890421549478,-0.11976110935211182,0.29421967,0.267397715184587,0.019380229
15,1,15,1.0757072766621907,4.504421234130859,-331.9099426269531,-0.15915578603744507,0.2590303,0.267397715184587,0.014706585
16,1,16,1.0725454886754353,4.479938983917236,-380.631586710612,-0.15476366877555847,0.24528961,0.267397715184587,0.010728855
17,1,17,1.0698909362157185,4.494035243988037,-2330.2428080240884,-0.399235337972641,0.19963093,0.267397715184587,0.009491303
18,1,18,1.0676680008570354,4.417273044586182,-301.0897725423177,-0.0636204406619072,0.26366472,0.267397715184587,0.01212902
19,1,19,1.0656596422195435,4.425753116607666,-324.89796447753906,-0.3990151584148407,0.2622799,0.267397715184587,0.0077709765
20,1,20,1.0631328026453655,4.443370342254639,-249.35462443033853,-0.2935044467449188,0.306352,0.267397715184587,0.008114834
21,1,21,1.0609357357025146,4.432802677154541,-284.2960154215495,0.054339855909347534,0.26669338,0.267397715184587,0.0078049614
22,1,22,1.0599437952041626,4.361831188201904,-294.7982177734375,0.002929677488282323,0.2625128,0.267397715184587,0.0071101165
