,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation,Pearson Correlation coefficient
Train,0.06322635844390356,0.7944558116435099,0.34758524306496896,0.7944508220208105,0.3808922512322297,0.9835758536894537,0.642420532549411
Test,0.07213190982366986,0.9667923048501647,0.12024305432403237,0.9664712242787418,0.403066048998233,1.030746414734295,0.35001512129120765
