,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2
0,1,1,0.20991139553579719,6.043922692962139,0.0011315579101458528
1,2,1,0.20985452425834872,6.04446387670885,0.0009526689351234685
2,3,1,0.20984929763400284,6.042890622418906,0.0014726657398326237
3,4,1,0.20982557136678054,6.042296452674713,0.00166901732051139
4,1,3500,0.08639827087994544,2.5332284958450466,0.8245233962185028
5,2,3500,0.07615649160143903,2.1847071954583916,0.8694860393815098
6,3,3500,0.060255856476996696,1.7463359459316625,0.9166076758344597
7,4,3500,0.0512885124986891,1.4948349553487914,0.9388977812394274
8,1,7000,0.07915815343387039,2.342910108141798,0.8498996367873197
9,2,7000,0.05913294461749766,1.7057131221096085,0.9204422536954968
10,3,7000,0.04258927988869732,1.2068411434366693,0.9601736316377064
11,4,7000,0.030974755569442163,0.8848536824492581,0.9785901602721696
12,1,10500,0.07491122793590778,2.187079723678765,0.8692024167617491
13,2,10500,0.048178377573723265,1.3811653141426585,0.947837089272409
14,3,10500,0.03033245089681211,0.8635553470748443,0.979608421466134
15,4,10500,0.020209509714074113,0.5715767340676565,0.9910665424885796
