,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation,Pearson Correlation coefficient
Train,0.024380011446498425,0.16200687733600244,0.6329277802021928,0.16200687733600244,0.21273295415091426,0.267397715184587,0.7955675836798486
Test,0.03411453172786574,0.2208134633464534,0.5523553320370105,0.2165809645673152,0.19303880303544893,0.3300341204499272,0.7791566005822876
