,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (187) Train,0.09313558787107468,1.1139516,-0.47248061498006183,1.094724,1.0921044,0.9835758536894537
Best epoch (187) Validation,0.08416682295501232,0.9789754,-0.03515163064002991,0.96914667,0.8446023,1.030746414734295
