,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Best epoch (95) Train,0.12649812797705332,3.9846156,0.5957345763842264,3.9837258,3.152034,5.837896012982625
Best epoch (95) Validation,0.10487077757716179,2.9060159,0.6745120286941528,2.9165626,2.6479702,5.682489487615398
