,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation,Pearson Correlation coefficient
Train,0.051991452321468054,1.5171331698805617,0.9324640990980897,1.5171331698805617,5.6373164540629155,5.837896012982625,0.9656418068300947
Test,0.08403978629185069,2.7388728832746225,0.7676907672303585,2.7318382314577736,5.449915344862162,5.682489487615398,0.8803831466943886
