,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (198) Train,0.03944674879312515,0.32154214,0.02985408902168274,0.1404953,0.23520473,0.1829746
Best epoch (198) Validation,0.050894416868686676,0.28245908,0.26752400398254395,0.2825135,0.39640936,0.33003414
