,No. Deep Layers,Epoch,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient,Train CRMSD,Train data Standard Deviation,Train data based prediction Standard Deviation
0,1,0,1.0520627895991008,25.176877975463867,-14.984931310017904,-0.8564245700836182,6.6918583,5.837896012982625,0.17434579
1,1,1,1.0343103011449177,24.97303581237793,-16.780185063680012,-0.8765518069267273,6.137156,5.837896012982625,0.11054182
2,1,2,1.0172874132792156,22.533491134643555,-25.02202606201172,-0.7886949181556702,5.014588,5.837896012982625,0.045416918
3,1,3,0.9992673397064209,24.09727668762207,-14.070031801859537,0.2203846126794815,6.3985457,5.837896012982625,0.03379256
4,1,4,0.9812922875086466,21.804964065551758,-25.044624010721844,0.757661759853363,4.8340206,5.837896012982625,0.06648758
5,1,5,0.9662514527638754,24.0757999420166,-13.755200068155924,0.8571224212646484,6.314738,5.837896012982625,0.13374554
6,1,6,0.947182297706604,22.654191970825195,-11.958823839823404,0.870459794998169,6.6159973,5.837896012982625,0.18603496
7,1,7,0.9279212951660156,21.271818161010742,-13.498655319213867,0.8694381713867188,5.623218,5.837896012982625,0.21289241
8,1,8,0.9117024143536886,21.792905807495117,-12.153109550476074,0.8305418491363525,5.9686966,5.837896012982625,0.27398857
9,1,9,0.8914661208788554,20.012418746948242,-47.41420078277588,0.7437016367912292,4.295306,5.837896012982625,0.2890723
10,1,10,0.878060499827067,20.29928970336914,-12.03358014424642,0.8778724074363708,5.3505683,5.837896012982625,0.40411925
11,1,11,0.864494800567627,21.70502281188965,-13.197633743286133,0.8661542534828186,5.5978074,5.837896012982625,0.4096016
12,1,12,0.8388330340385437,19.982221603393555,-9.649717807769775,0.8873806595802307,6.534643,5.837896012982625,0.55299854
13,1,13,0.8245187600453695,19.094308853149414,-9.906151135762533,0.8050351738929749,5.62802,5.837896012982625,0.5456237
14,1,14,0.8073869546254476,19.61243438720703,-8.888028621673584,0.8889687657356262,6.0789714,5.837896012982625,0.6195194
15,1,15,0.7917847633361816,19.262662887573242,-9.925442059834799,0.8641453385353088,5.6089005,5.837896012982625,0.6218653
16,1,16,0.775479257106781,18.14024543762207,-83.85915152231853,0.6767141222953796,4.12152,5.837896012982625,0.67332524
17,1,17,0.7574491302172343,18.4616641998291,-15.09295686086019,0.8983407020568848,4.7304473,5.837896012982625,0.6559882
18,1,18,0.7291456262270609,17.801836013793945,-7.817524433135986,0.8737872242927551,6.0147443,5.837896012982625,0.8845121
19,1,19,0.7182066837946574,17.200416564941406,-7.707355817159017,0.8968008160591125,5.102949,5.837896012982625,0.9066164
20,1,20,0.7060681780179342,17.151872634887695,-8.216087023417154,0.8843809962272644,5.0115514,5.837896012982625,0.826521
21,1,21,0.6892813642819723,17.641294479370117,-8.067320028940836,0.8229610323905945,5.215744,5.837896012982625,0.856728
22,1,22,0.6551710764567057,14.82294750213623,-9.746251106262207,0.9040448665618896,4.133703,5.837896012982625,0.9652613
23,1,23,0.6462185581525167,15.516194343566895,-8.157194455464682,0.8166282773017883,4.6420636,5.837896012982625,1.0286804
24,1,24,0.6300041278203329,14.706547737121582,-29.20665407180786,0.5323908925056458,3.9588997,5.837896012982625,0.9211398
