,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (119) Train,0.026031285524368286,0.29268885,0.03200158476829529,0.1371411,0.20128338,0.1410746
Best epoch (119) Validation,0.03418501280248165,0.18794304,0.37456005811691284,0.03818132,0.113579184,0.07628073
