,MAPE,RMSE,R2,CRMSD,Predictions Standard Deviation,Data Standard Deviation
Train,0.09184658980031422,2.282077371547056,0.7079002121051562,2.3233857433247205,2.3269774600549296,4.222452219206776
Test,0.12794305754881113,3.0871965694826855,0.3770581069386495,3.088114297517128,2.075050263206556,3.9114745946766805
