,MAPE,RMSE,R2,CRMSD,Prediction Standard Deviation,Data Standard Deviation
Best epoch (186) Train,0.012726005166769028,0.25918156,-0.5142596364021301,0.054077774,0.06626065,0.029921768
Best epoch (186) Validation,0.04042744946976503,0.21555905,0.2811190088589986,0.025863282,0.09081573,0.067082055
